student_id,student_name,hours_of study,Lessons_attended,Final Grade
1,Clim McOmish,41,35,17
2,Tymon Tumasian,41,25,13
3,Sabina Knipe,2,29,14
4,Crawford Workes,82,13,4
5,Jobey Flips,84,30,3
6,Davon Pryer,68,8,3
7,Nick Foskett,60,28,19
8,Jacobo Screach,44,28,20
9,Amalie Heijnen,95,6,9
10,Idalia Kiljan,43,40,13
11,Torr Skittles,29,33,16
12,Gayle Choat,77,4,10
13,Morten Kmicicki,75,8,1
14,Sherye O' Concannon,61,20,6
15,Erastus Meriel,37,35,14
16,Elle Stanyforth,32,15,2
17,Bay Derham,54,16,3
18,Kay Croy,46,40,4
19,Itch Neissen,49,30,2
20,Marion McGowan,93,11,16
21,Philippine Gartland,4,20,18
22,Shalom Smeeth,72,34,4
23,Cletus McCaw,2,14,18
24,Katharyn Manson,26,35,17
25,Albert Rodbourne,87,39,3
26,Camala Kibblewhite,95,35,17
27,Letisha Ellacombe,44,36,17
28,King MacVay,32,25,9
29,Tatiana Hengoed,33,18,17
30,Bjorn Lomath,45,35,5
31,Ursuline Ubank,53,28,1
32,Desmond Browse,35,23,8
33,Loralyn Tacon,13,24,20
34,Jamil Warre,75,38,4
35,Timmy Hearne,41,24,18
36,Katleen MacInherney,0,21,19
37,Andriette Rheaume,40,14,16
38,Jenna Thicking,8,33,9
39,Joanne Kilminster,9,30,1
40,Jedediah O'Connell,7,24,18
41,Chrissie Shead,49,6,15
42,Hal Sidebottom,81,23,8
43,Mart Pugsley,27,33,12
44,Tiertza Chat,78,2,9
45,Chiquia Hatherley,97,32,6
46,Dory MacFarlan,55,5,12
47,Shannon Humphrey,100,5,10
48,Lacie Brookwell,4,23,4
49,Carlie Geyton,23,4,13
50,Elana Rosindill,41,24,2
51,Ken Ghidotti,15,30,10
52,Hatti Gallaway,69,13,6
53,Silas Atte-Stone,98,7,6
54,Siegfried Ingliss,82,16,10
55,Pattin Fontaine,13,26,9
56,Tamarra O'Heaney,49,8,9
57,Luelle Cadney,69,36,19
58,Norma Muir,95,3,1
59,Scarlett Lethbrig,41,5,5
60,Mirabelle Davydoch,15,25,18
61,Michell Corradini,69,23,13
62,Don Baruch,66,7,13
63,Kristel Burgot,47,3,13
64,Renell Dmytryk,36,25,12
65,Adolpho Anespie,91,21,6
66,Cathryn Follit,54,1,7
67,Gradey Bydaway,51,17,14
68,Adelbert Daudray,52,40,4
69,Niko Sindle,16,20,18
70,Joby Birchett,22,25,3
71,Corney Huskinson,96,25,10
72,May Ferryman,10,40,10
73,Livvy Tilliards,42,23,19
74,Sully Sides,63,33,7
75,Frazer Fontenot,14,9,20
76,Donny Potten,8,36,16
77,Mendie Martt,6,21,12
78,Kyle Biskupski,25,26,16
79,Farrell Oxtaby,63,27,19
80,Gabie Swindlehurst,49,3,16
81,Kelcey Ludlam,71,33,1
82,Gregoor Linkie,45,28,2
83,Nelia Leneham,1,21,14
84,Claudius Andrieux,65,16,11
85,Elias Frankland,94,6,5
86,Karola Stirzaker,15,37,2
87,Diarmid de Aguirre,89,36,2
88,Cecelia Tree,50,3,4
89,Willow Addinall,76,34,16
90,Dag Hustler,89,17,17
91,Leanor Demonge,29,18,19
92,Shauna Welds,61,5,2
93,Keary Labes,26,33,1
94,Thayne Temlett,93,28,19
95,Frannie Ahmad,88,29,18
96,Pearle Iggulden,82,39,8
97,Margot Hanse,85,7,3
98,Celestia Kollasch,64,32,17
99,Denyse Rubinowicz,100,12,9
100,Marilyn Lineen,76,6,5
101,Paloma Treeby,46,17,14
102,Garnette Brownsett,54,7,13
103,Adriaens Sivorn,63,23,16
104,Kelsy Motten,8,2,17
105,Tory Darrel,82,37,19
106,Dallas Feldklein,15,22,4
107,Millisent Toyer,12,6,8
108,Norean Levick,92,1,12
109,Pyotr Brocks,7,9,12
110,Forbes Mellmer,32,24,8
111,Leontine Flattman,18,35,9
112,Ileane Gulliver,84,22,18
113,Payton Gallichan,94,9,20
114,Stefan Grigorushkin,94,40,9
115,Lindon Walstow,36,10,3
116,Mufinella Hathwood,80,26,15
117,Florida Blooman,48,7,18
118,Eugene Keeri,58,40,3
119,Ikey Cossington,54,36,12
120,Ellene Josef,41,34,6
121,Danny Brauns,68,3,20
122,Silvana Crichmer,62,34,8
123,Bernetta Batham,17,6,2
124,Hurlee Leynton,13,14,11
125,Evvy Eustis,39,33,18
126,Claudia Belsham,31,2,17
127,Rey Heavens,63,22,6
128,Stephi Smitheman,86,5,9
129,Montague Stainer,20,27,18
130,Gabriel Feragh,91,39,7
131,Angelina Saynor,77,2,2
132,Lindsy Croy,10,1,6
133,Giffer Couves,3,3,2
134,Betteann Pedro,38,3,2
135,Malinde Cardenoza,88,7,19
136,Davon Crallan,6,22,14
137,Sarita Olwen,29,8,20
138,Efren Franzke,1,22,18
139,Emlyn Loghan,43,23,20
140,Gwenni Smorfit,56,38,19
141,Myles Arthur,54,39,19
142,Bertie Fissenden,32,8,7
143,Celene Beddow,76,26,1
144,Conant Adriaan,44,21,6
145,Giorgia McFarland,34,11,18
146,Ira Shilling,40,17,19
147,Gaultiero Keepence,20,36,17
148,Marcia Baurerich,24,32,13
149,Corine Asbery,94,34,14
150,Halli Domnin,93,28,9
151,Austen Milington,7,11,2
152,Ezechiel Ferronel,12,38,2
153,Isiahi Lillow,51,33,19
154,Jeromy Hansford,14,18,13
155,Brena Grafhom,100,27,13
156,Norri Cowin,31,15,5
157,Thibaud Butting,46,2,8
158,Culley Kinsman,100,6,11
159,Daria Piper,39,13,19
160,Dalton Stockow,85,16,9
161,Ninetta O' Cuolahan,56,10,18
162,Aila Gianni,22,32,14
163,Sherwynd Fihelly,98,4,13
164,Sonja Markie,21,15,1
165,Rafael Streak,18,19,19
166,Otes Tilne,65,22,20
167,Matias Sargood,95,2,11
168,Massimo Esposi,47,21,10
169,Oliy Rabjohns,61,37,17
170,Boycey Skae,8,4,18
171,Annabela Sherry,8,31,10
172,Fredric Addenbrooke,5,28,6
173,Price Chartman,82,24,11
174,Cathyleen Wilsey,51,27,12
175,Laryssa Heddy,90,15,7
176,Nikki Scad,84,16,19
177,Concettina Spendley,34,28,20
178,Rand Wetheril,34,36,12
179,Sunny Andrusov,16,40,2
180,Kimberley Mercy,28,18,14
181,Zebulen Hullyer,60,23,8
182,Euell Crier,89,36,16
183,Manya Arnison,72,27,18
184,Yorke Gatty,58,30,6
185,Jacintha Squirrel,42,20,16
186,Lavena Wilford,73,22,20
187,Celka Hayton,92,17,16
188,Wiley Valde,1,12,16
189,Correy Carriage,28,30,14
190,Sharleen Richford,17,19,19
191,Aime Oneile,32,16,14
192,Jerrilyn Bellhanger,60,20,2
193,Fania Nijs,67,25,12
194,Yolane Duffy,81,22,3
195,Dorine Rottenbury,0,20,11
196,Edie Polle,31,22,18
197,Anatollo Ralphs,69,28,9
198,Lauralee Lorne,58,23,16
199,Federico Crosland,5,5,8
200,Kittie Alman,23,28,3
201,Guinevere Giamelli,98,1,18
202,Felicity Fradgley,30,3,13
203,Ekaterina Gages,77,40,10
204,Pammy Sergant,61,6,18
205,Morgen Bumphrey,92,36,7
206,Peterus Petyankin,39,15,5
207,Eloisa O'Gaven,17,25,17
208,Di Lalevee,9,19,20
209,Cristin Auty,48,19,8
210,Madalena Ajsik,50,28,15
211,Lalo Bingall,24,6,14
212,Dottie Bosman,4,18,4
213,Barde Shadbolt,89,1,13
214,Alecia Yakuntzov,73,14,2
215,Sally Caple,43,21,14
216,Latia Harfleet,61,29,1
217,Augustin Caslake,29,31,5
218,Eran de Clercq,86,30,7
219,Joseito Woodroofe,94,39,3
220,Kaitlyn Penhallurick,11,26,18
221,Karita Hancorn,77,19,3
222,Zollie Lenaghen,11,22,6
223,Fiann Looney,90,14,11
224,Sabra Starkey,24,8,10
225,Giffy Eakin,45,29,14
226,Augustine Flintiff,88,32,17
227,Joice Kitchingman,51,34,14
228,Monro Mathevet,81,3,2
229,Babette Bedome,93,9,5
230,Arabel Attwool,90,39,9
231,Diahann Mabbott,98,14,3
232,Xerxes Letford,86,18,20
233,Bastien Ritelli,64,38,20
234,Addie Imm,82,20,6
235,Flin Stirton,85,39,9
236,Cornell MacMenamin,42,40,3
237,Linc Fibbit,63,4,2
238,Lise Slucock,48,11,14
239,Alysa Reoch,96,20,15
240,Vinnie Klimentyev,51,15,11
241,Forest Gatenby,14,33,15
242,Constantin Bradberry,96,33,19
243,Nikki Loveitt,33,4,12
244,Dickie Bortolutti,89,40,4
245,Kurtis Aberdalgy,100,30,6
246,Celia Vinton,7,19,9
247,Trip Toulmin,71,13,18
248,Arty Van Der Weedenburg,51,36,18
249,Ailene Eede,7,26,3
250,Dalston Jiggens,83,40,10
251,Shae Coles,63,22,20
252,Neddy Jakucewicz,91,31,14
253,Michal Staddon,83,8,12
254,Walther Van der Son,20,23,2
255,Gibb Fibbit,65,15,8
256,Marijo O'Sherin,24,23,2
257,Lindsey McGenn,14,18,9
258,Maje Tumber,95,30,8
259,Costa Garroway,26,13,15
260,Patsy Hagyard,24,15,11
261,Dru Reinhardt,57,22,11
262,Nigel Vivash,57,37,13
263,Salomon Danilovitch,89,27,8
264,Barnabe Wreight,36,18,10
265,Angelique Ateggart,93,27,12
266,Buckie Bagshawe,23,39,17
